                                                           Stdlib	                                                                                                                           Containers	                                                                                                                                              Batteries	                                                                                                        Base	                                            F#
List.fold_left_map : ('a -> 'b -> 'a * 'c) -> 'a -> 'b list -> 'a * 'c list	CCList.fold_left_map : ('a -> 'b -> 'a * 'c) -> 'a -> 'b list -> 'a * 'c list	BatList.fold_left_map : ('a -> 'b -> 'a * 'c) -> 'a -> 'b list -> 'a * 'c list		
		BatList.fold_lefti : ('a -> int -> 'b -> 'a) -> 'a -> 'b list -> 'a		
	CCList.fold_map : ('acc -> 'a -> 'acc * 'b) -> 'acc -> 'a list -> 'acc * 'b list			
	CCList.fold_map2 : ('acc -> 'a -> 'b -> 'acc * 'c) -> 'acc -> 'a list -> 'b list -> 'acc * 'c list			
	CCList.fold_map_i : ('acc -> int -> 'a -> 'acc * 'b) -> 'acc -> 'a list -> 'acc * 'b list			
	CCList.fold_on_map : f:('a -> 'b) -> reduce:('acc -> 'b -> 'acc) -> 'acc -> 'a list -> 'acc			
	CCList.fold_product : ('c -> 'a -> 'b -> 'c) -> 'c -> 'a t -> 'b t -> 'c			
List.fold_right : ('a -> 'b -> 'b) -> 'a list -> 'b -> 'b	CCList.fold_right : ('a -> 'b -> 'b) -> 'a t -> 'b -> 'b	BatList.fold_right : ('a -> 'b -> 'b) -> 'a list -> 'b -> 'b		List.foldBack : (('a -> 'b -> 'b) -> 'a list -> 'b -> 'b)
List.fold_right2 : ('a -> 'b -> 'c -> 'c) -> 'a list -> 'b list -> 'c -> 'c	CCList.fold_right2 : ('a -> 'b -> 'c -> 'c) -> 'a list -> 'b list -> 'c -> 'c	BatList.fold_right2 : ('a -> 'b -> 'c -> 'c) -> 'a list -> 'b list -> 'c -> 'c		List.foldBack2 : (('a -> 'b -> 'c -> 'c) -> 'a list -> 'b list -> 'c -> 'c)
		BatList.fold_righti : (int -> 'b -> 'a -> 'a) -> 'b list -> 'a -> 'a		
	CCList.fold_while : ('a -> 'b -> 'a * [ `Continue | `Stop ]) -> 'a -> 'b t -> 'a	BatList.fold_while : ('acc -> 'a -> bool) -> ('acc -> 'a -> 'acc) -> 'acc -> 'a list -> 'acc * 'a list		
	CCList.foldi : ('b -> int -> 'a -> 'b) -> 'b -> 'a t -> 'b			
	CCList.foldi2 : ('c -> int -> 'a -> 'b -> 'c) -> 'c -> 'a t -> 'b t -> 'c			
List.for_all : ('a -> bool) -> 'a list -> bool	CCList.for_all : ('a -> bool) -> 'a list -> bool	BatList.for_all : ('a -> bool) -> 'a list -> bool		List.forall : (('a -> bool) -> 'a list -> bool)
List.for_all2 : ('a -> 'b -> bool) -> 'a list -> 'b list -> bool	CCList.for_all2 : ('a -> 'b -> bool) -> 'a list -> 'b list -> bool	BatList.for_all2 : ('a -> 'b -> bool) -> 'a list -> 'b list -> bool		List.forall2 : (('a -> 'b -> bool) -> 'a list -> 'b list -> bool)
		BatList.frange : float -> [< `Downto | `To ] -> float -> int -> float list		
		BatList.fsum : float list -> float		
	CCList.get_at_idx : int -> 'a t -> 'a option			
	CCList.get_at_idx_exn : int -> 'a t -> 'a			
		BatList.group : ('a -> 'a -> int) -> 'a list -> 'a list list		
	CCList.group_by : ?hash:('a -> int) -> ?eq:('a -> 'a -> bool) -> 'a t -> 'a list t			
				List.groupBy : (('a -> 'b) -> 'a list -> ('b * 'a list) list) when 'b : equality
	CCList.group_join_by : ?eq:('a -> 'a -> bool) -> ?hash:('a -> int) -> ('b -> 'a) -> 'a t -> 'b t -> ('a * 'b list) t	BatList.group_consecutive : ('a -> 'a -> bool) -> 'a list -> 'a list list		
	CCList.group_succ : eq:('a -> 'a -> bool) -> 'a list -> 'a list list			
List.hd : 'a list -> 'a	CCList.hd : 'a list -> 'a	BatList.hd : 'a list -> 'a		List.head : ('a list -> 'a)
	CCList.hd_tl : 'a t -> 'a * 'a t			
	CCList.head_opt : 'a t -> 'a option			
		BatList.index_of : 'a -> 'a list -> int option		
		BatList.index_ofq : 'a -> 'a list -> int option		
				List.indexed : ('a list -> (int * 'a) list)
List.init : int -> (int -> 'a) -> 'a list	CCList.init : int -> (int -> 'a) -> 'a t	BatList.init : int -> (int -> 'a) -> 'a list		List.init : (int -> (int -> 'a) -> 'a list)
	CCList.insert_at_idx : int -> 'a -> 'a t -> 'a t			
				List.insertAt : ???
				List.insertManyAt : ???
	CCList.inter : eq:('a -> 'a -> bool) -> 'a t -> 'a t -> 'a t			
	CCList.interleave : 'a list -> 'a list -> 'a list	BatList.interleave : ?first:'a -> ?last:'a -> 'a -> 'a list -> 'a list		
	CCList.intersperse : 'a -> 'a list -> 'a list			
	CCList.is_empty : 'a t -> bool	BatList.is_empty : 'a list -> bool		List.isEmpty : ('a list -> bool)
	CCList.is_sorted : cmp:('a -> 'a -> int) -> 'a list -> bool			
				List.item : (int -> 'a list -> 'a)
List.iter : ('a -> unit) -> 'a list -> unit	CCList.iter : ('a -> unit) -> 'a list -> unit	BatList.iter : ('a -> unit) -> 'a list -> unit		List.iter : (('a -> unit) -> 'a list -> unit)
List.iter2 : ('a -> 'b -> unit) -> 'a list -> 'b list -> unit	CCList.iter2 : ('a -> 'b -> unit) -> 'a list -> 'b list -> unit	BatList.iter2 : ('a -> 'b -> unit) -> 'a list -> 'b list -> unit		List.iter2 : (('a -> 'b -> unit) -> 'a list -> 'b list -> unit)
	CCList.iteri2 : (int -> 'a -> 'b -> unit) -> 'a t -> 'b t -> unit	BatList.iter2i : (int -> 'a -> 'b -> unit) -> 'a list -> 'b list -> unit		List.iteri2 : ((int -> 'a -> 'b -> unit) -> 'a list -> 'b list -> unit)
List.iteri : (int -> 'a -> unit) -> 'a list -> unit	CCList.iteri : (int -> 'a -> unit) -> 'a t -> unit	BatList.iteri : (int -> 'a -> unit) -> 'a list -> unit		List.iteri : ((int -> 'a -> unit) -> 'a list -> unit)
		BatList.kahan_sum : float list -> float		
	CCList.join : join_row:('a -> 'b -> 'c option) -> 'a t -> 'b t -> 'c t			
	CCList.join_all_by : ?eq:('key -> 'key -> bool) -> ?hash:('key -> int) -> ('a -> 'key) -> ('b -> 'key) -> merge:('key -> 'a list -> 'b list -> 'c option) -> 'a t -> 'b t -> 'c t			
	CCList.join_by : ?eq:('key -> 'key -> bool) -> ?hash:('key -> int) -> ('a -> 'key) -> ('b -> 'key) -> merge:('key -> 'a -> 'b -> 'c option) -> 'a t -> 'b t -> 'c t			
	CCList.keep_ok : ('a, 'b) result t -> 'a t			
	CCList.keep_some : 'a option t -> 'a t			
	CCList.last : int -> 'a t -> 'a t	BatList.last : 'a list -> 'a		List.last : ('a list -> 'a)
	CCList.last_opt : 'a t -> 'a option			
List.length : 'a list -> int	CCList.length : 'a list -> int	BatList.length : 'a list -> int		List.length : ('a list -> int)
		BatList.make : int -> 'a -> 'a list		
List.map : ('a -> 'b) -> 'a list -> 'b list	CCList.map : ('a -> 'b) -> 'a t -> 'b t	BatList.map : ('a -> 'b) -> 'a list -> 'b list		List.map : (('a -> 'b) -> 'a list -> 'b list)
List.map2 : ('a -> 'b -> 'c) -> 'a list -> 'b list -> 'c list	CCList.map2 : ('a -> 'b -> 'c) -> 'a list -> 'b list -> 'c list	BatList.map2 : ('a -> 'b -> 'c) -> 'a list -> 'b list -> 'c list		List.map2 : (('a -> 'b -> 'c) -> 'a list -> 'b list -> 'c list)
				List.map3 : (('a -> 'b -> 'c -> 'd) -> 'a list -> 'b list -> 'c list -> 'd list)
		BatList.map2i : (int -> 'a -> 'b -> 'c) -> 'a list -> 'b list -> 'c list		List.mapi2 : ((int -> 'a -> 'b -> 'c) -> 'a list -> 'b list -> 'c list)
				List.mapFold : (('a -> 'b -> 'c * 'a) -> 'a -> 'b list -> 'c list * 'a)
				List.mapFoldBack : (('a -> 'b -> 'c * 'b) -> 'a list -> 'b -> 'c list * 'b)
	CCList.map_product_l : ('a -> 'b list) -> 'a list -> 'b list list			
List.mapi : (int -> 'a -> 'b) -> 'a list -> 'b list	CCList.mapi : (int -> 'a -> 'b) -> 'a t -> 'b t	BatList.mapi : (int -> 'a -> 'b) -> 'a list -> 'b list		List.mapi : ((int -> 'a -> 'b) -> 'a list -> 'b list)
		BatList.max : ?cmp:('a -> 'a -> int) -> 'a list -> 'a		List.max : ('a list -> 'a) when 'a : comparison
				List.maxBy : (('a -> 'b) -> 'a list -> 'a) when 'b : comparison
List.mem : 'a -> 'a list -> bool	CCList.mem : ?eq:('a -> 'a -> bool) -> 'a -> 'a t -> bool	BatList.mem : 'a -> 'a list -> bool		
List.mem_assoc : 'a -> ('a * 'b) list -> bool	CCList.mem_assoc : ?eq:('a -> 'a -> bool) -> 'a -> ('a * 'b) t -> bool	BatList.mem_assoc : 'a -> ('a * 'b) list -> bool		
List.mem_assq : 'a -> ('a * 'b) list -> bool	CCList.mem_assq : 'a -> ('a * 'b) list -> bool	BatList.mem_assq : 'a -> ('a * 'b) list -> bool		
		BatList.mem_cmp : ('a -> 'a -> int) -> 'a -> 'a list -> bool		
List.memq : 'a -> 'a list -> bool	CCList.memq : 'a -> 'a list -> bool	BatList.memq : 'a -> 'a list -> bool		
List.merge : ('a -> 'a -> int) -> 'a list -> 'a list -> 'a list	CCList.merge : ('a -> 'a -> int) -> 'a list -> 'a list -> 'a list	BatList.merge : ('a -> 'a -> int) -> 'a list -> 'a list -> 'a list		
	CCList.mguard : bool -> unit t			
		BatList.min : ?cmp:('a -> 'a -> int) -> 'a list -> 'a		List.min : ('a list -> 'a) when 'a : comparison
				List.minBy : (('a -> 'b) -> 'a list -> 'a) when 'b : comparison
		BatList.min_max : ?cmp:('a -> 'a -> int) -> 'a list -> 'a * 'a		
		BatList.modify : 'a -> ('b -> 'b) -> ('a * 'b) list -> ('a * 'b) list		
		BatList.modify_at : int -> ('a -> 'a) -> 'a list -> 'a list		
		BatList.modify_def : 'b -> 'a -> ('b -> 'b) -> ('a * 'b) list -> ('a * 'b) list		
		BatList.modify_opt : 'a -> ('b option -> 'b option) -> ('a * 'b) list -> ('a * 'b) list		
		BatList.modify_opt_at : int -> ('a -> 'a option) -> 'a list -> 'a list		
		BatList.nsplit : ('a -> bool) -> 'a list -> 'a list list		
		BatList.ntake : int -> 'a list -> 'a list list		
List.nth : 'a list -> int -> 'a	CCList.nth : 'a list -> int -> 'a	BatList.nth : 'a list -> int -> 'a		List.nth : ('a list -> int -> 'a)
List.nth_opt : 'a list -> int -> 'a option	CCList.nth_opt : 'a t -> int -> 'a option	BatList.nth_opt : 'a list -> int -> 'a option		
				List.ofArray : ('a [] -> 'a list)
		BatList.of_backwards : 'a BatEnum.t -> 'a list		
		BatList.of_enum : 'a BatEnum.t -> 'a list		
	CCList.of_gen : 'a gen -> 'a t			
	CCList.of_iter : 'a iter -> 'a t			
List.of_seq : 'a Seq.t -> 'a list	CCList.of_seq : 'a Seq.t -> 'a t	BatList.of_seq : 'a Seq.t -> 'a list		List.ofSeq : (seq<'a> -> 'a list)
	CCList.of_seq_rev : 'a Seq.t -> 'a t			
		BatList.ord : 'a BatOrd.ord -> 'a list BatOrd.ord		
				List.pairwise : ('a list -> ('a * 'a) list)
List.partition : ('a -> bool) -> 'a list -> 'a list * 'a list	CCList.partition : ('a -> bool) -> 'a list -> 'a list * 'a list	BatList.partition : ('a -> bool) -> 'a list -> 'a list * 'a list		List.partition : (('a -> bool) -> 'a list -> 'a list * 'a list)
	CCList.partition_filter_map : ('a -> [< `Drop | `Left of 'b | `Right of 'c ]) -> 'a list -> 'b list * 'c list			
List.partition_map : ('a -> ('b, 'c) Either.t) -> 'a list -> 'b list * 'c list	CCList.partition_map : ('a -> [< `Drop | `Left of 'b | `Right of 'c ]) -> 'a list -> 'b list * 'c list	BatList.partition_map : ('a -> ('b, 'c) BatEither.t) -> 'a list -> 'b list * 'c list		
	CCList.partition_map_either : ('a -> ('b, 'c) CCEither.t) -> 'a list -> 'b list * 'c list			
				List.permute : ((int -> int) -> 'a list -> 'a list)
				List.pick : (('a -> 'b option) -> 'a list -> 'b)
	CCList.pp : ?pp_start:unit printer -> ?pp_stop:unit printer -> ?pp_sep:unit printer -> 'a printer -> 'a t printer			
		BatList.print : ?first:string -> ?last:string -> ?sep:string -> ('a BatInnerIO.output -> 'b -> unit) -> 'a BatInnerIO.output -> 'b list -> unit		
	CCList.product : ('a -> 'b -> 'c) -> 'a t -> 'b t -> 'c t			
	CCList.pure : 'a -> 'a t			
	CCList.random : 'a random_gen -> 'a t random_gen			
	CCList.random_choose : 'a t -> 'a random_gen			
	CCList.random_len : int -> 'a random_gen -> 'a t random_gen			
	CCList.random_non_empty : 'a random_gen -> 'a t random_gen			
	CCList.random_sequence : 'a random_gen t -> 'a t random_gen			
	CCList.range : int -> int -> int t	BatList.range : int -> [< `Downto | `To ] -> int -> int list		
	CCList.range' : int -> int -> int t			
	CCList.range_by : step:int -> int -> int -> int t			
	CCList.reduce : ('a -> 'a -> 'a) -> 'a list -> 'a option	BatList.reduce : ('a -> 'a -> 'a) -> 'a list -> 'a		
	CCList.reduce_exn : ('a -> 'a -> 'a) -> 'a list -> 'a			List.reduce : (('a -> 'a -> 'a) -> 'a list -> 'a)
				List.reduceBack : (('a -> 'a -> 'a) -> 'a list -> 'a)
	CCList.remove : eq:('a -> 'a -> bool) -> key:'a -> 'a t -> 'a t	BatList.remove : 'a list -> 'a -> 'a list		
		BatList.remove_all : 'a list -> 'a -> 'a list		
List.remove_assoc : 'a -> ('a * 'b) list -> ('a * 'b) list	CCList.remove_assoc : eq:('a -> 'a -> bool) -> 'a -> ('a * 'b) t -> ('a * 'b) t	BatList.remove_assoc : 'a -> ('a * 'b) list -> ('a * 'b) list		
List.remove_assq : 'a -> ('a * 'b) list -> ('a * 'b) list	CCList.remove_assq : 'a -> ('a * 'b) list -> ('a * 'b) list	BatList.remove_assq : 'a -> ('a * 'b) list -> ('a * 'b) list		
	CCList.remove_at_idx : int -> 'a t -> 'a t	BatList.remove_at : int -> 'a list -> 'a list		List.removeAt : ???
				List.removeManyAt : ???
		BatList.remove_if : ('a -> bool) -> 'a list -> 'a list		
	CCList.remove_one : eq:('a -> 'a -> bool) -> 'a -> 'a t -> 'a t			
	CCList.repeat : int -> 'a t -> 'a t			
	CCList.replicate : int -> 'a -> 'a t			List.replicate : (int -> 'a -> 'a list)
	CCList.return : 'a -> 'a t			
List.rev : 'a list -> 'a list	CCList.rev : 'a list -> 'a list	BatList.rev : 'a list -> 'a list		List.rev : ('a list -> 'a list)
List.rev_append : 'a list -> 'a list -> 'a list	CCList.rev_append : 'a list -> 'a list -> 'a list	BatList.rev_append : 'a list -> 'a list -> 'a list		
List.rev_map : ('a -> 'b) -> 'a list -> 'b list	CCList.rev_map : ('a -> 'b) -> 'a list -> 'b list	BatList.rev_map : ('a -> 'b) -> 'a list -> 'b list		
List.rev_map2 : ('a -> 'b -> 'c) -> 'a list -> 'b list -> 'c list	CCList.rev_map2 : ('a -> 'b -> 'c) -> 'a list -> 'b list -> 'c list	BatList.rev_map2 : ('a -> 'b -> 'c) -> 'a list -> 'b list -> 'c list		
		BatList.rfind : ('a -> bool) -> 'a list -> 'a		
		BatList.rindex_of : 'a -> 'a list -> int option		
		BatList.rindex_ofq : 'a -> 'a list -> int option		
	CCList.scan_left : ('acc -> 'a -> 'acc) -> 'acc -> 'a list -> 'acc list			List.scan : (('a -> 'b -> 'a) -> 'a -> 'b list -> 'a list)
				List.scanBack : (('a -> 'b -> 'b) -> 'a list -> 'b -> 'b list)
	CCList.set_at_idx : int -> 'a -> 'a t -> 'a t			
		BatList.shuffle : ?state:Random.State.t -> 'a list -> 'a list		
		BatList.singleton : 'a -> 'a list		List.singleton : ('a -> 'a list)
				List.skip : (int -> 'a list -> 'a list)
				List.skipWhile : (('a -> bool) -> 'a list -> 'a list)
List.sort : ('a -> 'a -> int) -> 'a list -> 'a list	CCList.sort : ('a -> 'a -> int) -> 'a list -> 'a list	BatList.sort : ('a -> 'a -> int) -> 'a list -> 'a list		
List.sort_uniq : ('a -> 'a -> int) -> 'a list -> 'a list	CCList.sort_uniq : cmp:('a -> 'a -> int) -> 'a list -> 'a list	BatList.sort_uniq : ('a -> 'a -> int) -> 'a list -> 'a list		
		BatList.sort_unique : ('a -> 'a -> int) -> 'a list -> 'a list		
	CCList.sorted_diff : cmp:('a -> 'a -> int) -> 'a list -> 'a list -> 'a list			
	CCList.sorted_diff_uniq : cmp:('a -> 'a -> int) -> 'a list -> 'a list -> 'a list			
	CCList.sorted_insert : cmp:('a -> 'a -> int) -> ?uniq:bool -> 'a -> 'a list -> 'a list			
	CCList.sorted_mem : cmp:('a -> 'a -> int) -> 'a -> 'a list -> bool			
	CCList.sorted_merge : cmp:('a -> 'a -> int) -> 'a list -> 'a list -> 'a list			
	CCList.sorted_merge_uniq : cmp:('a -> 'a -> int) -> 'a list -> 'a list -> 'a list			
	CCList.sorted_remove : cmp:('a -> 'a -> int) -> ?all:bool -> 'a -> 'a list -> 'a list			
				List.sort : ('a list -> 'a list) when 'a : comparison
				List.sortBy : (('a -> 'b) -> 'a list -> 'a list) when 'b : comparison
				List.sortByDescending : (('a -> 'b) -> 'a list -> 'a list) when 'b : comparison
				List.sortDescending : ('a list -> 'a list) when 'a : comparison
				List.sortWith : (('a -> 'a -> int) -> 'a list -> 'a list)
		BatList.span : ('a -> bool) -> 'a list -> 'a list * 'a list		
List.split : ('a * 'b) list -> 'a list * 'b list	CCList.split : ('a * 'b) t -> 'a t * 'b t	BatList.split : ('a * 'b) list -> 'a list * 'b list		
		BatList.split_at : int -> 'a list -> 'a list * 'a list		List.splitAt : (int -> 'a list -> 'a list * 'a list)
				List.splitInto : (int -> 'a list -> 'a list list)
		BatList.split_nth : int -> 'a list -> 'a list * 'a list		
List.stable_sort : ('a -> 'a -> int) -> 'a list -> 'a list	CCList.stable_sort : ('a -> 'a -> int) -> 'a list -> 'a list	BatList.stable_sort : ('a -> 'a -> int) -> 'a list -> 'a list		
	CCList.sublists_of_len : ?last:('a list -> 'a list option) -> ?offset:int -> int -> 'a list -> 'a list list			
	CCList.subset : eq:('a -> 'a -> bool) -> 'a t -> 'a t -> bool	BatList.subset : ('a -> 'b -> int) -> 'a list -> 'b list -> bool		
		BatList.sum : int list -> int		
				List.sum : ???
				List.sumBy : ???
	CCList.tail_opt : 'a t -> 'a t option			
				List.tail : ('a list -> 'a list)
	CCList.take : int -> 'a t -> 'a t	BatList.take : int -> 'a list -> 'a list		List.take : (int -> 'a list -> 'a list)
	CCList.take_drop : int -> 'a t -> 'a t * 'a t	BatList.takedrop : int -> 'a list -> 'a list * 'a list		
	CCList.take_drop_while : ('a -> bool) -> 'a t -> 'a t * 'a t			
	CCList.take_while : ('a -> bool) -> 'a t -> 'a t	BatList.take_while : ('a -> bool) -> 'a list -> 'a list		List.takeWhile : (('a -> bool) -> 'a list -> 'a list)
		BatList.takewhile : ('a -> bool) -> 'a list -> 'a list		
List.tl : 'a list -> 'a list	CCList.tl : 'a list -> 'a list	BatList.tl : 'a list -> 'a list		
				List.toArray : ('a list -> 'a [])
	CCList.to_gen : 'a t -> 'a gen			
	CCList.to_iter : 'a t -> 'a iter			
List.to_seq : 'a list -> 'a Seq.t	CCList.to_seq : 'a t -> 'a Seq.t	BatList.to_seq : 'a list -> 'a Seq.t		List.toSeq : ('a list -> seq<'a>)
	CCList.to_string : ?start:string -> ?stop:string -> ?sep:string -> ('a -> string) -> 'a t -> string			
		BatList.transpose : 'a list list -> 'a list list		List.transpose : (seq<'a list> -> 'a list list)
				List.truncate : (int -> 'a list -> 'a list)
				List.tryExactlyOne : ('a list -> 'a option)
				List.tryFind : (('a -> bool) -> 'a list -> 'a option)
				List.tryFindBack : (('a -> bool) -> 'a list -> 'a option)
				List.tryFindIndex : (('a -> bool) -> 'a list -> int option)
				List.tryFindIndexBack : (('a -> bool) -> 'a list -> int option)
				List.tryHead : ('a list -> 'a option)
				List.tryItem : (int -> 'a list -> 'a option)
				List.tryLast : ('a list -> 'a option)
				List.tryPick : (('a -> 'b option) -> 'a list -> 'b option)
		BatList.unfold : 'b -> ('b -> ('a * 'b) option) -> 'a list		List.unfold : (('a -> ('b * 'a) option) -> 'a -> 'b list)
		BatList.unfold_exc : (unit -> 'a) -> 'a list * exn		
		BatList.unfold_exn : (unit -> 'a) -> 'a list * exn		
	CCList.union : eq:('a -> 'a -> bool) -> 'a t -> 'a t -> 'a t			
	CCList.uniq : eq:('a -> 'a -> bool) -> 'a t -> 'a t	BatList.unique : ?eq:('a -> 'a -> bool) -> 'a list -> 'a list		
		BatList.unique_cmp : ?cmp:('a -> 'a -> int) -> 'a list -> 'a list		
	CCList.uniq_succ : eq:('a -> 'a -> bool) -> 'a list -> 'a list			
		BatList.unique_hash : ?hash:('a -> int) -> ?eq:('a -> 'a -> bool) -> 'a list -> 'a list		
				List.unzip : (('a * 'b) list -> 'a list * 'b list)
				List.unzip3 : (('a * 'b * 'c) list -> 'a list * 'b list * 'c list)
				List.updateAt : ???
				List.where : (('a -> bool) -> 'a list -> 'a list)
				List.windowed : (int -> 'a list -> 'a list list)
				List.zip : ('a list -> 'b list -> ('a * 'b) list)
				List.zip3 : ('a list -> 'b list -> 'c list -> ('a * 'b * 'c) list)
	CCList.( -- ) : int -> int -> int t			
	CCList.( --^ ) : int -> int -> int t			
	CCList.( <$> ) : ('a -> 'b) -> 'a t -> 'b t			
	CCList.( <*> ) : ('a -> 'b) t -> 'a t -> 'b t			
	CCList.( >>= ) : 'a t -> ('a -> 'b t) -> 'b t			
	CCList.( >|= ) : 'a t -> ('a -> 'b) -> 'b t			
	CCList.( @ ) : 'a t -> 'a t -> 'a t	BatList.( @ ) : 'a list -> 'a list -> 'a list		
	CCList.( and& ) : 'a list -> 'b list -> ('a * 'b) list			
	CCList.( and* ) : 'a t -> 'b t -> ('a * 'b) t			
	CCList.( and+ ) : 'a t -> 'b t -> ('a * 'b) t			
	CCList.( let* ) : 'a t -> ('a -> 'b t) -> 'b t			
	CCList.( let+ ) : 'a t -> ('a -> 'b) -> 'b t			
	CCList.Assoc.get : eq:('a -> 'a -> bool) -> 'a -> ('a, 'b) t -> 'b option			
	CCList.Assoc.get_exn : eq:('a -> 'a -> bool) -> 'a -> ('a, 'b) t -> 'b			
	CCList.Assoc.keys : ('a, 'b) t -> 'a list			
	CCList.Assoc.map_values : ('b -> 'c) -> ('a, 'b) t -> ('a			
	CCList.Assoc.mem : ?eq:('a -> 'a -> bool) -> 'a -> ('a, 'b) t -> bool			
	CCList.Assoc.remove : eq:('a -> 'a -> bool) -> 'a -> ('a, 'b) t -> ('a, 'b) t    			
	CCList.Assoc.set : eq:('a -> 'a -> bool) -> 'a -> 'b -> ('a, 'b) t -> ('a, 'b) t			
	CCList.Assoc.update : eq:('a -> 'a -> bool) -> f:('b option -> 'b option) -> 'a -> ('a, 'b) t -> ('a, 'b) t			
	CCList.Assoc.values : ('a, 'b) t -> 'b list			
	CCList.Ref.clear : 'a t -> unit			
	CCList.Ref.create : unit -> 'a t			
	CCList.Ref.lift : ('a list -> 'b) -> 'a t -> 'b			
	CCList.Ref.pop : 'a t -> 'a option			
	CCList.Ref.pop_exn : 'a t -> 'a			
	CCList.Ref.push : 'a t -> 'a -> unit			
	CCList.Ref.push_list : 'a t -> 'a list -> unit			
				
			Base.Map.add : ('k, 'v, 'cmp) t -> key:'k -> data:'v -> ('k, 'v, 'cmp) t Or_duplicate.t	
Map.add : key -> 'a -> 'a t -> 'a t	CCMap.add : key -> 'a -> 'a t -> 'a t	BatMap.add : 'a -> 'b -> ('a, 'b) t -> ('a, 'b) t	Base.Map.add_exn : ('k, 'v, 'cmp) t -> key:'k -> data:'v -> ('k, 'v, 'cmp) t	Map.add : ('a -> 'b -> Map<'a,'b> -> Map<'a,'b>) when 'a : comparison
		BatMap.add_carry : 'a -> 'b -> ('a, 'b) t -> ('a, 'b) t * 'b option		
	CCMap.add_iter : 'a t -> (key * 'a) CCMap.iter -> 'a t			
	CCMap.add_iter_with : f:(key -> 'a -> 'a -> 'a) -> 'a t -> (key * 'a) CCMap.iter -> 'a t			
	CCMap.add_list : 'a t -> (key * 'a) list -> 'a t			
	CCMap.add_list_with : f:(key -> 'a -> 'a -> 'a) -> 'a t -> (key * 'a) list -> 'a t			
			Base.Map.add_multi : ('k, 'v list, 'cmp) t -> key:'k -> data:'v -> ('k, 'v list, 'cmp) t	
Map.add_seq : (key * 'a) Seq.t -> 'a t -> 'a t	CCMap.add_seq : 'a t -> (key * 'a) Seq.t -> 'a t	BatMap.add_seq : ('key * 'a) BatSeq.t -> ('key, 'a) t -> ('key, 'a) t		
	CCMap.add_seq_with : f:(key -> 'a -> 'a -> 'a) -> 'a t -> (key * 'a) Seq.t -> 'a t			
		BatMap.any : ('key, 'a) t -> 'key * 'a		
			Base.Map.append : lower_part:('k, 'v, 'cmp) t -> upper_part:('k, 'v, 'cmp) t -> [ `Ok of ('k, 'v, 'cmp) t | `Overlapping_key_ranges ]	
		BatMap.at_rank_exn : int -> ('key, 'a) t -> 'key * 'a		
